cityCode,cityZh,cityEn,districtName,lat,lon,matchType,rows
a,臺北市,Taipei City,中山區,25.069775,121.538255,townExact,198
a,臺北市,Taipei City,中正區,25.032442,121.519922,townExact,85
a,臺北市,Taipei City,信義區,25.030735,121.571618,townExact,88
a,臺北市,Taipei City,內湖區,25.083809,121.592332,townExact,130
a,臺北市,Taipei City,北投區,25.147931,121.517507,townExact,139
a,臺北市,Taipei City,南港區,25.03607,121.609616,townExact,61
a,臺北市,Taipei City,士林區,25.125554,121.55095,townExact,115
a,臺北市,Taipei City,大同區,25.063916,121.513397,townExact,104
a,臺北市,Taipei City,大安區,25.026809,121.543454,townExact,159
a,臺北市,Taipei City,文山區,24.988638,121.573963,townExact,109
a,臺北市,Taipei City,松山區,25.059705,121.557712,townExact,95
a,臺北市,Taipei City,萬華區,25.029326,121.497376,townExact,116
b,臺中市,Taichung City,中區,24.141882,120.680581,townExact,41
b,臺中市,Taichung City,北區,24.158791,120.680861,townExact,135
b,臺中市,Taichung City,北屯區,24.184057,120.736219,townExact,292
b,臺中市,Taichung City,南區,24.121152,120.66446,townExact,95
b,臺中市,Taichung City,南屯區,24.141505,120.617995,townExact,180
b,臺中市,Taichung City,后里區,24.309744,120.714593,townExact,31
b,臺中市,Taichung City,和平區,24.276,121.140125,townExact,2
b,臺中市,Taichung City,外埔區,24.335624,120.665033,townExact,5
b,臺中市,Taichung City,大安區,24.365098,120.592029,townExact,3
b,臺中市,Taichung City,大甲區,24.37839,120.635772,townExact,25
b,臺中市,Taichung City,大肚區,24.144806,120.554282,townExact,11
b,臺中市,Taichung City,大里區,24.095827,120.692612,townExact,3
b,臺中市,Taichung City,大雅區,24.227028,120.64117,townExact,28
b,臺中市,Taichung City,太平區,24.114782,120.773498,townExact,191
b,臺中市,Taichung City,新社區,24.177801,120.83132,townExact,10
b,臺中市,Taichung City,東勢區,24.249639,120.840125,townExact,18
b,臺中市,Taichung City,東區,24.13731,120.697142,townExact,53
b,臺中市,Taichung City,梧棲區,24.273161,120.622916,townExact,96
b,臺中市,Taichung City,沙鹿區,24.234393,120.583826,townExact,147
b,臺中市,Taichung City,清水區,24.294053,120.576715,townExact,42
b,臺中市,Taichung City,潭子區,24.211944,120.711117,townExact,42
b,臺中市,Taichung City,烏日區,24.084039,120.629271,townExact,43
b,臺中市,Taichung City,石岡區,24.265045,120.790368,townExact,7
b,臺中市,Taichung City,神岡區,24.265765,120.673424,townExact,19
b,臺中市,Taichung City,西區,24.143869,120.664701,townExact,79
b,臺中市,Taichung City,西屯區,24.183026,120.626613,townExact,300
b,臺中市,Taichung City,豐原區,24.25006,120.737533,townExact,70
b,臺中市,Taichung City,霧峰區,24.043443,120.720136,townExact,61
b,臺中市,Taichung City,龍井區,24.201151,120.527628,townExact,69
c,基隆市,Keelung City,七堵區,25.10982,121.68379,townExact,29
c,基隆市,Keelung City,中山區,25.150653,121.730268,townExact,13
c,基隆市,Keelung City,中正區,25.142623,121.778352,townExact,37
c,基隆市,Keelung City,仁愛區,25.119993,121.743464,townExact,14
c,基隆市,Keelung City,信義區,25.12591,121.772652,townExact,27
c,基隆市,Keelung City,安樂區,25.141765,121.707694,townExact,40
c,基隆市,Keelung City,暖暖區,25.081067,121.744732,townExact,10
d,臺南市,Tainan City,七股區,23.122783,120.099142,townExact,7
d,臺南市,Tainan City,下營區,23.231108,120.264741,townExact,7
d,臺南市,Tainan City,中西區,22.995289,120.193619,townExact,92
d,臺南市,Tainan City,仁德區,22.941419,120.241863,townExact,81
d,臺南市,Tainan City,佳里區,23.167037,120.178487,townExact,29
d,臺南市,Tainan City,六甲區,23.227377,120.379873,townExact,4
d,臺南市,Tainan City,北區,23.010148,120.205875,townExact,76
d,臺南市,Tainan City,北門區,23.27786,120.126211,townExact,2
d,臺南市,Tainan City,南區,22.955945,120.189972,townExact,40
d,臺南市,Tainan City,善化區,23.140457,120.298965,townExact,42
d,臺南市,Tainan City,大內區,23.144968,120.398933,townExact,17
d,臺南市,Tainan City,學甲區,23.252409,120.184257,townExact,19
d,臺南市,Tainan City,安南區,23.048795,120.152609,townExact,127
d,臺南市,Tainan City,安定區,23.099518,120.229773,townExact,20
d,臺南市,Tainan City,安平區,22.989604,120.164388,townExact,59
d,臺南市,Tainan City,官田區,23.191087,120.347983,townExact,6
d,臺南市,Tainan City,將軍區,23.20846,120.127653,townExact,7
d,臺南市,Tainan City,山上區,23.096905,120.371055,townExact,1
d,臺南市,Tainan City,左鎮區,23.026153,120.412395,townExact,6
d,臺南市,Tainan City,後壁區,23.361797,120.348526,townExact,4
d,臺南市,Tainan City,新化區,23.034042,120.335798,townExact,14
d,臺南市,Tainan City,新市區,23.083334,120.292791,townExact,38
