level,key,name,txnType,year,month,ym,count,unitPriceNominal,unitPriceReal2021
national,,Taiwan,sale,2012,1,2012-01,387,42174,45358
national,,Taiwan,sale,2012,2,2012-02,551,46494,50004
national,,Taiwan,sale,2012,3,2012-03,1180,52221,56164
national,,Taiwan,sale,2012,4,2012-04,1598,57138,61452
national,,Taiwan,sale,2012,5,2012-05,1707,52832,56821
national,,Taiwan,sale,2012,6,2012-06,2122,54188,58279
national,,Taiwan,sale,2012,7,2012-07,10829,46434,49940
national,,Taiwan,sale,2012,8,2012-08,18312,44614,47982
national,,Taiwan,sale,2012,9,2012-09,20574,46258,49750
national,,Taiwan,sale,2012,10,2012-10,24891,47273,50842
national,,Taiwan,sale,2012,11,2012-11,22705,45202,48615
national,,Taiwan,sale,2012,12,2012-12,27816,47382,50959
national,,Taiwan,sale,2013,1,2013-01,20595,46073,49160
national,,Taiwan,sale,2013,2,2013-02,14890,48409,51653
national,,Taiwan,sale,2013,3,2013-03,28541,48800,52070
national,,Taiwan,sale,2013,4,2013-04,29033,50937,54350
national,,Taiwan,sale,2013,5,2013-05,29445,52067,55556
national,,Taiwan,sale,2013,6,2013-06,27401,51703,55168
national,,Taiwan,sale,2013,7,2013-07,27277,52971,56520
national,,Taiwan,sale,2013,8,2013-08,25441,51502,54953
national,,Taiwan,sale,2013,9,2013-09,25533,52186,55683
national,,Taiwan,sale,2013,10,2013-10,27427,53014,56566
national,,Taiwan,sale,2013,11,2013-11,27137,54867,58544
national,,Taiwan,sale,2013,12,2013-12,32134,51653,55114
national,,Taiwan,sale,2014,1,2014-01,16487,50813,53578
national,,Taiwan,sale,2014,2,2014-02,15568,50771,53533
national,,Taiwan,sale,2014,3,2014-03,25803,52958,55839
national,,Taiwan,sale,2014,4,2014-04,25208,54510,57476
national,,Taiwan,sale,2014,5,2014-05,23523,54278,57231
national,,Taiwan,sale,2014,6,2014-06,21334,52936,55816
national,,Taiwan,sale,2014,7,2014-07,20873,53242,56139
national,,Taiwan,sale,2014,8,2014-08,18208,53554,56468
national,,Taiwan,sale,2014,9,2014-09,19837,53313,56214
national,,Taiwan,sale,2014,10,2014-10,21825,54478,57442
national,,Taiwan,sale,2014,11,2014-11,21970,55407,58422
national,,Taiwan,sale,2014,12,2014-12,26381,54811,57793
national,,Taiwan,sale,2015,1,2015-01,15708,52691,55728
national,,Taiwan,sale,2015,2,2015-02,10884,54349,57482
national,,Taiwan,sale,2015,3,2015-03,19552,53305,56378
national,,Taiwan,sale,2015,4,2015-04,19533,54409,57545
national,,Taiwan,sale,2015,5,2015-05,18543,53962,57072
national,,Taiwan,sale,2015,6,2015-06,18282,53460,56542
national,,Taiwan,sale,2015,7,2015-07,18171,52326,55342
national,,Taiwan,sale,2015,8,2015-08,15847,51714,54695
national,,Taiwan,sale,2015,9,2015-09,15032,52922,55973
national,,Taiwan,sale,2015,10,2015-10,17982,53618,56709
national,,Taiwan,sale,2015,11,2015-11,23266,54016,57130
national,,Taiwan,sale,2015,12,2015-12,24508,52073,55075
national,,Taiwan,sale,2016,1,2016-01,11346,52148,54400
national,,Taiwan,sale,2016,2,2016-02,7575,52647,54921
national,,Taiwan,sale,2016,3,2016-03,16963,51517,53742
national,,Taiwan,sale,2016,4,2016-04,18033,54870,57240
national,,Taiwan,sale,2016,5,2016-05,20521,54468,56820
national,,Taiwan,sale,2016,6,2016-06,18311,54680,57042
national,,Taiwan,sale,2016,7,2016-07,18727,55564,57964
national,,Taiwan,sale,2016,8,2016-08,16282,56122,58546
national,,Taiwan,sale,2016,9,2016-09,16806,54936,57309
national,,Taiwan,sale,2016,10,2016-10,18361,53628,55944
national,,Taiwan,sale,2016,11,2016-11,18329,54500,56854
national,,Taiwan,sale,2016,12,2016-12,22253,54992,57367
national,,Taiwan,sale,2017,1,2017-01,12788,53996,55983
national,,Taiwan,sale,2017,2,2017-02,13417,55870,57926
national,,Taiwan,sale,2017,3,2017-03,20222,54020,56008
national,,Taiwan,sale,2017,4,2017-04,19780,55722,57773
national,,Taiwan,sale,2017,5,2017-05,20283,54990,57014
national,,Taiwan,sale,2017,6,2017-06,20302,56628,58712
national,,Taiwan,sale,2017,7,2017-07,19274,56450,58528
national,,Taiwan,sale,2017,8,2017-08,19368,56183,58251
national,,Taiwan,sale,2017,9,2017-09,17914,57442,59556
national,,Taiwan,sale,2017,10,2017-10,19922,58394,60543
national,,Taiwan,sale,2017,11,2017-11,22130,56579,58661
national,,Taiwan,sale,2017,12,2017-12,22774,57363,59474
national,,Taiwan,sale,2018,1,2018-01,19898,57396,58717
national,,Taiwan,sale,2018,2,2018-02,11895,58100,59437
national,,Taiwan,sale,2018,3,2018-03,22608,57967,59301
national,,Taiwan,sale,2018,4,2018-04,21740,57379,58700
national,,Taiwan,sale,2018,5,2018-05,22801,57375,58696
national,,Taiwan,sale,2018,6,2018-06,21343,59096,60456
national,,Taiwan,sale,2018,7,2018-07,21640,58661,60011
national,,Taiwan,sale,2018,8,2018-08,20366,60388,61778
national,,Taiwan,sale,2018,9,2018-09,19943,60692,62089
national,,Taiwan,sale,2018,10,2018-10,21805,60917,62319
national,,Taiwan,sale,2018,11,2018-11,20353,59277,60641
national,,Taiwan,sale,2018,12,2018-12,22745,59241,60605
national,,Taiwan,sale,2019,1,2019-01,21476,60080,61119
national,,Taiwan,sale,2019,2,2019-02,14520,58189,59195
national,,Taiwan,sale,2019,3,2019-03,26510,60036,61074
national,,Taiwan,sale,2019,4,2019-04,26097,60768,61819
national,,Taiwan,sale,2019,5,2019-05,26118,61155,62213
national,,Taiwan,sale,2019,6,2019-06,25127,62617,63700
national,,Taiwan,sale,2019,7,2019-07,26137,62912,64000
national,,Taiwan,sale,2019,8,2019-08,22100,63692,64793
national,,Taiwan,sale,2019,9,2019-09,25819,63383,64479
national,,Taiwan,sale,2019,10,2019-10,27380,64656,65774
national,,Taiwan,sale,2019,11,2019-11,27006,64157,65267
national,,Taiwan,sale,2019,12,2019-12,27662,64193,65303
national,,Taiwan,sale,2020,1,2020-01,18265,63844,65100
national,,Taiwan,sale,2020,2,2020-02,22217,63722,64976
national,,Taiwan,sale,2020,3,2020-03,26108,62428,63657
national,,Taiwan,sale,2020,4,2020-04,22323,63418,64666
national,,Taiwan,sale,2020,5,2020-05,28391,65441,66729
national,,Taiwan,sale,2020,6,2020-06,30907,67228,68551
national,,Taiwan,sale,2020,7,2020-07,34576,68584,69934
national,,Taiwan,sale,2020,8,2020-08,32815,70148,71529
national,,Taiwan,sale,2020,9,2020-09,31824,69214,70576
national,,Taiwan,sale,2020,10,2020-10,33291,70257,71640
national,,Taiwan,sale,2020,11,2020-11,33093,68325,69670
national,,Taiwan,sale,2020,12,2020-12,30666,69528,70896
national,,Taiwan,sale,2021,1,2021-01,27234,71198,71198
national,,Taiwan,sale,2021,2,2021-02,19696,70032,70032
national,,Taiwan,sale,2021,3,2021-03,33951,69532,69532
national,,Taiwan,sale,2021,4,2021-04,32091,70657,70657
national,,Taiwan,sale,2021,5,2021-05,25115,69504,69504
national,,Taiwan,sale,2021,6,2021-06,17528,65802,65802
national,,Taiwan,sale,2021,7,2021-07,23960,68756,68756
national,,Taiwan,sale,2021,8,2021-08,27463,72201,72201
national,,Taiwan,sale,2021,9,2021-09,33398,74071,74071
national,,Taiwan,sale,2021,10,2021-10,33634,74887,74887
national,,Taiwan,sale,2021,11,2021-11,33017,76046,76046
national,,Taiwan,sale,2021,12,2021-12,31620,76726,76726
national,,Taiwan,sale,2022,1,2022-01,23873,77503,75282
national,,Taiwan,sale,2022,2,2022-02,18808,78513,76263
